dataset_id,filename,split
cremad,1075_IEO_FEA_HI.wav,train
cremad,1047_WSI_HAP_XX.wav,train
cremad,1032_TAI_HAP_XX.wav,train
cremad,1032_TIE_ANG_XX.wav,train
cremad,1047_MTI_ANG_XX.wav,train
cremad,1061_ITH_ANG_XX.wav,train
cremad,1074_IEO_HAP_HI.wav,train
cremad,1030_IOM_NEU_XX.wav,train
cremad,1024_ITS_HAP_XX.wav,train
cremad,1015_TIE_HAP_XX.wav,train
cremad,1084_IEO_NEU_XX.wav,train
cremad,1041_IWL_SAD_XX.wav,train
cremad,1085_MTI_FEA_XX.wav,train
cremad,1077_ITS_NEU_XX.wav,train
cremad,1031_TAI_FEA_XX.wav,train
cremad,1001_TAI_HAP_XX.wav,train
cremad,1010_IWW_SAD_XX.wav,train
cremad,1054_ITS_SAD_XX.wav,train
cremad,1075_IOM_NEU_XX.wav,train
cremad,1048_IEO_SAD_LO.wav,train
cremad,1062_ITH_ANG_XX.wav,train
cremad,1077_WSI_ANG_XX.wav,train
cremad,1073_IWL_HAP_XX.wav,train
cremad,1025_TAI_HAP_XX.wav,train
cremad,1048_TSI_DIS_XX.wav,train
cremad,1072_IOM_DIS_XX.wav,train
cremad,1005_IWL_SAD_XX.wav,train
cremad,1061_ITS_NEU_XX.wav,train
cremad,1019_IOM_HAP_XX.wav,train
cremad,1014_IOM_DIS_XX.wav,train
cremad,1048_WSI_NEU_XX.wav,train
cremad,1071_IWL_NEU_XX.wav,train
cremad,1023_IOM_FEA_XX.wav,train
cremad,1041_ITH_HAP_XX.wav,train
cremad,1015_IOM_DIS_XX.wav,train
cremad,1030_MTI_SAD_XX.wav,train
cremad,1038_IEO_DIS_MD.wav,train
cremad,1012_WSI_ANG_XX.wav,train
cremad,1031_TAI_SAD_XX.wav,train
cremad,1038_IOM_SAD_XX.wav,train
cremad,1009_IEO_ANG_HI.wav,train
cremad,1022_ITS_NEU_XX.wav,train
cremad,1091_IWL_SAD_XX.wav,train
cremad,1031_ITS_ANG_XX.wav,train
cremad,1025_TAI_DIS_XX.wav,train
cremad,1056_IWW_FEA_XX.wav,train
cremad,1078_DFA_ANG_XX.wav,train
cremad,1054_MTI_SAD_XX.wav,train
cremad,1010_TIE_FEA_XX.wav,train
cremad,1003_IOM_HAP_XX.wav,train
cremad,1015_DFA_FEA_XX.wav,train
cremad,1050_TSI_NEU_XX.wav,train
cremad,1007_TAI_ANG_XX.wav,train
cremad,1032_TIE_FEA_XX.wav,train
cremad,1079_TAI_NEU_XX.wav,train
cremad,1063_IEO_SAD_MD.wav,train
cremad,1073_MTI_DIS_XX.wav,train
cremad,1042_MTI_NEU_XX.wav,train
cremad,1014_DFA_FEA_XX.wav,train
cremad,1011_ITS_FEA_XX.wav,train
cremad,1091_IWL_DIS_XX.wav,train
cremad,1050_WSI_SAD_XX.wav,train
cremad,1030_TIE_NEU_XX.wav,train
cremad,1062_ITS_FEA_XX.wav,train
cremad,1050_TSI_HAP_XX.wav,train
cremad,1026_IWW_ANG_XX.wav,train
cremad,1031_DFA_SAD_XX.wav,train
cremad,1085_IWL_SAD_XX.wav,train
cremad,1075_ITS_FEA_XX.wav,train
cremad,1054_IEO_NEU_XX.wav,train
cremad,1021_IWW_FEA_XX.wav,train
cremad,1085_IWW_NEU_XX.wav,train
cremad,1079_IWW_ANG_XX.wav,train
cremad,1042_ITS_NEU_XX.wav,train
cremad,1012_IEO_HAP_MD.wav,train
cremad,1081_IEO_ANG_HI.wav,train
cremad,1083_IWL_FEA_XX.wav,train
cremad,1030_IEO_SAD_MD.wav,train
cremad,1007_TIE_SAD_XX.wav,train
cremad,1064_MTI_HAP_XX.wav,train
cremad,1019_TSI_FEA_XX.wav,train
cremad,1032_TAI_ANG_XX.wav,train
cremad,1015_TIE_FEA_XX.wav,train
cremad,1073_IEO_DIS_MD.wav,train
cremad,1009_IEO_HAP_MD.wav,train
cremad,1012_ITS_NEU_XX.wav,train
cremad,1015_ITS_FEA_XX.wav,train
cremad,1042_TSI_DIS_XX.wav,train
cremad,1071_IOM_FEA_XX.wav,train
cremad,1036_ITH_NEU_XX.wav,train
cremad,1022_IEO_HAP_LO.wav,train
cremad,1083_IEO_FEA_LO.wav,train
cremad,1062_DFA_HAP_XX.wav,train
cremad,1042_ITS_SAD_XX.wav,train
cremad,1074_IWL_FEA_XX.wav,train
cremad,1012_IEO_SAD_HI.wav,train
cremad,1035_WSI_SAD_XX.wav,train
cremad,1052_IEO_DIS_HI.wav,train
cremad,1087_TSI_HAP_XX.wav,train
cremad,1074_IWL_SAD_XX.wav,train
cremad,1030_IWW_HAP_XX.wav,train
cremad,1030_TSI_SAD_XX.wav,train
cremad,1027_IWL_HAP_XX.wav,train
cremad,1074_TSI_FEA_XX.wav,train
cremad,1063_IEO_HAP_MD.wav,train
cremad,1030_IEO_FEA_MD.wav,train
cremad,1019_IEO_SAD_HI.wav,train
cremad,1052_IEO_DIS_MD.wav,train
cremad,1069_MTI_FEA_XX.wav,train
cremad,1085_TIE_HAP_XX.wav,train
cremad,1041_IEO_HAP_HI.wav,train
cremad,1041_MTI_SAD_XX.wav,train
cremad,1035_TAI_HAP_XX.wav,train
cremad,1051_IEO_ANG_LO.wav,train
cremad,1079_IWW_SAD_XX.wav,train
cremad,1073_IWW_NEU_XX.wav,train
cremad,1051_IOM_FEA_XX.wav,train
cremad,1078_MTI_ANG_XX.wav,train
cremad,1072_TSI_NEU_XX.wav,train
cremad,1030_TIE_SAD_XX.wav,train
cremad,1042_MTI_DIS_XX.wav,train
cremad,1060_IEO_ANG_MD.wav,train
cremad,1035_IWW_NEU_XX.wav,train
cremad,1033_TIE_DIS_XX.wav,train
cremad,1009_TIE_DIS_XX.wav,train
cremad,1076_IEO_ANG_MD.wav,train
cremad,1036_ITS_ANG_XX.wav,train
cremad,1042_ITH_FEA_XX.wav,train
cremad,1056_IWW_SAD_XX.wav,train
cremad,1083_TIE_FEA_XX.wav,train
cremad,1033_IEO_SAD_LO.wav,train
cremad,1033_TAI_ANG_XX.wav,train
cremad,1012_ITS_FEA_XX.wav,train
cremad,1017_IEO_DIS_LO.wav,train
cremad,1085_TIE_NEU_XX.wav,train
cremad,1052_IWL_DIS_XX.wav,train
cremad,1023_ITS_FEA_XX.wav,train
cremad,1027_IWW_SAD_XX.wav,train
cremad,1054_DFA_FEA_XX.wav,train
cremad,1072_IWL_DIS_XX.wav,train
cremad,1009_TSI_NEU_XX.wav,train
cremad,1032_IOM_ANG_XX.wav,train
cremad,1050_ITS_HAP_XX.wav,train
cremad,1091_WSI_HAP_XX.wav,train
cremad,1027_IEO_HAP_HI.wav,train
cremad,1076_TSI_SAD_XX.wav,train
cremad,1075_IOM_HAP_XX.wav,train
cremad,1068_TSI_ANG_XX.wav,train
cremad,1019_WSI_HAP_XX.wav,train
cremad,1026_IWW_FEA_XX.wav,train
cremad,1041_MTI_DIS_XX.wav,train
cremad,1050_TSI_ANG_XX.wav,train
cremad,1076_IEO_FEA_HI.wav,train
cremad,1048_WSI_FEA_XX.wav,train
cremad,1053_IEO_ANG_HI.wav,train
cremad,1028_MTI_ANG_XX.wav,train
cremad,1012_WSI_SAD_XX.wav,train
cremad,1091_WSI_FEA_XX.wav,train
cremad,1022_MTI_SAD_XX.wav,train
cremad,1021_TSI_HAP_XX.wav,train
cremad,1073_TIE_DIS_XX.wav,train
cremad,1062_WSI_ANG_XX.wav,train
cremad,1085_IEO_DIS_MD.wav,train
cremad,1023_ITH_SAD_XX.wav,train
cremad,1071_DFA_FEA_XX.wav,train
cremad,1068_TAI_SAD_XX.wav,train
cremad,1021_IEO_FEA_MD.wav,train
cremad,1060_IWL_DIS_XX.wav,train
cremad,1071_MTI_FEA_XX.wav,train
cremad,1036_IWL_ANG_XX.wav,train
cremad,1021_IEO_DIS_HI.wav,train
cremad,1074_DFA_ANG_XX.wav,train
cremad,1078_IWW_FEA_XX.wav,train
cremad,1026_IEO_HAP_LO.wav,train
cremad,1023_WSI_ANG_XX.wav,train
cremad,1017_IEO_SAD_MD.wav,train
cremad,1015_IEO_HAP_LO.wav,train
cremad,1068_MTI_DIS_XX.wav,train
cremad,1005_IWW_HAP_XX.wav,train
cremad,1087_IOM_HAP_XX.wav,train
cremad,1063_IEO_DIS_MD.wav,train
cremad,1019_TSI_DIS_XX.wav,train
cremad,1052_ITH_ANG_XX.wav,train
cremad,1052_ITS_HAP_XX.wav,train
cremad,1054_IEO_DIS_LO.wav,train
cremad,1019_TIE_HAP_XX.wav,train
cremad,1045_WSI_HAP_XX.wav,train
cremad,1016_WSI_DIS_XX.wav,train
cremad,1061_ITS_ANG_XX.wav,train
cremad,1042_TIE_ANG_XX.wav,train
cremad,1050_IOM_HAP_XX.wav,train
cremad,1077_ITH_ANG_XX.wav,train
cremad,1031_DFA_DIS_XX.wav,train
cremad,1078_IWW_HAP_XX.wav,train
cremad,1023_IOM_SAD_XX.wav,train
cremad,1048_MTI_ANG_XX.wav,train
cremad,1075_WSI_SAD_XX.wav,train
cremad,1021_IWW_NEU_XX.wav,train
cremad,1077_TSI_HAP_XX.wav,train
cremad,1021_TAI_FEA_XX.wav,train
cremad,1032_IOM_SAD_XX.wav,train
cremad,1011_IEO_FEA_HI.wav,train
cremad,1056_IWL_NEU_XX.wav,train
cremad,1021_ITS_NEU_XX.wav,train
cremad,1064_IEO_SAD_HI.wav,train
cremad,1038_IEO_HAP_MD.wav,train
cremad,1061_MTI_HAP_XX.wav,train
cremad,1023_IOM_HAP_XX.wav,train
cremad,1079_TSI_HAP_XX.wav,train
cremad,1051_ITH_DIS_XX.wav,train
cremad,1075_ITS_ANG_XX.wav,train
cremad,1077_IOM_DIS_XX.wav,train
cremad,1022_IEO_SAD_HI.wav,train
cremad,1052_IOM_FEA_XX.wav,train
cremad,1050_TAI_SAD_XX.wav,train
cremad,1025_WSI_FEA_XX.wav,train
cremad,1035_DFA_NEU_XX.wav,train
cremad,1025_TIE_FEA_XX.wav,train
